RFC,RAZON SOCIAL,CODIGO POSTAL
XAXX010101000,EMPRESA ALFA SA DE CV,01000
COSC8001137NA,TECNOLOGIA DEL CENTRO,44100
AAA010101AAA,SERVICIOS INDUSTRIALES MX,72000
BBB020202BBB,DISTRIBUIDORA DEL NORTE,64000
CCC030303CCC,SOLUCIONES EMPRESARIALES,45050
DDD040404DDD,COMERCIALIZADORA OMEGA,77500
EEE050505EEE,TRANSPORTES DEL PACIFICO,20000
FFF060606FFF,ALIMENTOS LA HACIENDA,64010
GGG070707GGG,FERRETERIA CENTRAL,25000
HHH080808HHH,IMPORTACIONES DEL SUR,86000
III090909III,SISTEMAS DIGITALES MX,76100
JJJ101010JJJ,CONSTRUCTORA HORIZONTE,55000
KKK111111KKK,CORPORATIVO AZTECA,60000
LLL121212LLL,MARKETING GLOBAL GROUP,31100
MMM131313MMM,INNOVACION Y SOFTWARE,22200
NNN141414NNN,CONSULTORES EMPRESARIALES,32500
OOO151515OOO,GRUPO LOGISTICO EXPRESS,52900
PPP161616PPP,DESARROLLOS TECNOLOGICOS,97300
QQQ171717QQQ,TIENDAS DEL BAJIO,91100
RRR181818RRR,PRODUCTOS INDUSTRIALES DELTA,83200
